@relation dataset-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-V

@attribute variance numeric
@attribute skewness numeric
@attribute curtosis numeric
@attribute entropy numeric
@attribute class numeric

@data
3.5594,1.3078,1.291,1.6556,0
-5.1216,-5.3118,10.3846,-1.0612,1
-1.4628,-1.5706,2.4357,0.49826,1
0.9297,-3.7971,4.6429,-0.2957,0
0.24394,1.4733,-1.4192,-0.58535,1
-1.8584,7.886,-1.6643,-1.8384,0
2.0007,1.8644,2.6491,0.47369,0
-0.10648,-0.76771,7.7575,0.64179,0
4.6439,-3.3729,2.5976,0.55257,0
3.9362,10.1622,-3.8235,-4.0172,0
3.6575,7.2797,-2.2692,-1.144,0
-0.75793,2.5349,-3.0464,-1.2629,1
3.8023,-3.8696,4.044,0.95343,0
0.89512,4.7738,-4.8431,-5.5909,1
4.3398,-5.3036,3.8803,-0.70432,0
1.9265,7.7557,-0.16823,-3.0771,0
1.8238,-6.7748,8.3873,-0.54139,0
1.7452,4.8028,2.0878,0.62627,0
4.2164,9.4607,-4.9288,-5.2366,0
-2.2183,-1.254,2.9986,0.36378,1
0.59823,3.5012,-3.9795,-1.7841,1
-3.0265,-0.062088,0.68604,-0.055186,1
0.50813,0.47799,-1.9804,0.57714,1
-1.5732,1.0636,-0.71232,-0.8388,1
-3.9933,2.6218,0.62863,-1.1595,1
3.8417,10.0215,-4.2699,-4.9159,0
-0.048008,-1.6037,8.4756,0.75558,0
2.0466,2.03,2.1761,-0.083634,0
-0.278,8.1881,-3.1338,-2.5276,0
0.11592,3.2219,-3.4302,-2.8457,1
0.11806,0.39108,-0.98223,0.42843,1
1.5701,7.9129,0.29018,-2.1953,0
-2.8957,-12.0205,11.9149,-2.7552,1
5.504,10.3671,-4.413,-4.0211,0
-6.4247,9.5311,0.022844,-6.8517,1
-6.3679,8.0102,0.4247,-3.2207,1
-2.3142,-0.68494,1.9833,-0.44829,1
2.4196,6.4665,-0.75688,0.228,0
1.7425,3.6833,-4.0129,-1.7207,1
-4.4996,3.4288,0.56265,-1.1672,1
-3.2692,-12.7406,15.5573,-0.14182,1
4.0446,11.1741,-4.3582,-4.7401,0
2.9499,2.2493,1.3458,-0.037083,0
-2.0441,1.2271,0.18564,-1.091,1
-0.33729,-0.64976,7.6659,0.72326,0
2.3925,9.798,-3.0361,-2.8224,0
-1.2667,2.8183,-2.426,-1.8862,1
3.404,8.7261,-2.9915,-0.57242,0
3.5156,10.1891,-4.2759,-4.978,0
3.744,0.79459,0.95851,1.0077,0
-1.8076,-8.8131,8.7086,-0.21682,1
4.0215,-2.7004,2.4957,0.36636,0
3.8962,-4.7904,3.3954,-0.53751,0
1.8216,-6.4748,8.0514,-0.41855,0
4.1195,10.9258,-3.8929,-4.1802,0
4.9342,2.4107,-0.17594,1.6245,0
0.47368,3.3605,-4.5064,-4.0431,1
0.040498,8.5234,1.4461,-3.9306,0
3.2294,7.7391,-0.37816,-2.5405,0
1.9105,8.871,-2.3386,-0.75604,0
2.9742,8.96,-2.9024,-1.0379,0
-3.3793,-13.7731,17.9274,-2.0323,1
3.7982,10.423,-4.1602,-4.9728,0
-3.38,-0.7077,2.5325,0.71808,1
0.90407,3.3708,-4.4987,-3.6965,1
-2.3361,11.9604,3.0835,-5.4435,0
0.2346,-4.5152,2.1195,1.4448,1
5.1129,-0.49871,0.62863,1.1189,0
4.1349,6.1189,-2.4294,-0.19613,0
